tit,keywords,category1
Identification of token contracts on Ethereum: standard compliance and beyond,"['EVM bytecode', 'Heuristic', 'Interface', 'Smart contracts', 'Token standards', 'Transaction data']",computer science
Automated narrative planning model extension,"['Virtual agents', 'Narrative planning', 'Domain modeling']",computer science
Hybrid descriptor definition for content based image classification using fusion of handcrafted features to convolutional neural network features,"['Handcrafted features', 'Representation learning', 'Augmented feature learning', 'Image classification', 'Feature fusion', 'Pre trained Convolutional Neural Network (CNN)']",computer science
Reinforcement learning-based joint self-optimisation method for the fuzzy logic handover algorithm in 5G HetNets,"['Heterogeneous networks', 'Fuzzy logic', 'Self-optimisation', 'Handover']",computer science
Complex communication application identification and private network mining technology under a large-scale network,"['Protocol recognition', 'Complex applications', 'Data mining', 'Private networks']",computer science
Bio matter in creative practises for fashion and design,"['Bio textile', 'Acetobacter xylinum', 'Alternative methods', 'Bacterial cellulose', 'Fashion', 'Sustainability']",computer science
Two-stage multi-view deep network for 3D human pose reconstruction using images and its 2D joint heatmaps through enhanced stack-hourglass approach,"['Human pose reconstruction (HPR)', 'Deep convolutional neural network (DCNN)', 'Enhanced stack-hourglass approach (ESHA)', 'Human activity recognition']",computer science
Global context aware RCNN for object detection,"['Object detection', 'Context awareness', 'Attention mechanism', 'Dense connection']",computer science
Learning knowledge graph embedding with a bi-directional relation encoding network and a convolutional autoencoder decoding network,"['Bi-directional relation', 'Convolutional autoencoder', 'Knowledge graph', 'Link prediction']",computer science
BSS Method Based on Wavelet Transform and Improved EASI Algorithm and Its Application in EMI,"['Electromagnetic interference', 'Blind source separation', 'Wavelet transform']",computer science
Smart transportation system for public universities,"['Mobile app', 'University transportation', 'Ca?ete', 'Geolocation', 'Routes', 'Bus stops', 'Schedule']",computer science
Deep Learning Approach for Early Detection of Alzheimers Disease,"['Medical image classification', 'Alzheimers disease', 'Convolutional neural network (CNN)', 'Deep learning', 'Brain MRI']",computer science
Stick-Breaking Dependent Beta Processes with Variational Inference,"['Beta process', 'Dependent beta process', 'Variational inference', 'Image processing']",computer science
A high-discriminative facial recognition method based on shape and grey-level appearances using landmark-points,"['Facial recognition', 'Landmark', 'Shape appearance', 'Grey-level appearance', 'Partial occlusion', 'Noise', 'Illumination', 'Pose', 'Expression']",computer science
A New Convolutional Neural Network Architecture for Automatic Segmentation of Overlapping Human Chromosomes,"['Convolutional neural networks', 'Deep learning', 'Automatic segmentation', 'Overlapping chromosomes', 'Compact Seg-UNet']",computer science
Recency-based sequential pattern mining in multiple event sequences,"['Data mining', 'Sequential pattern mining', 'Web clickstream analysis']",computer science
IOSUDA: an unsupervised domain adaptation with input and output space alignment for joint optic disc and cup segmentation,"['Adversarial learning', 'Fundus images', 'Image translation', 'Joint optic disc and cup segmentation', 'Unsupervised domain adaptation']",computer science
Online Social Network Security: A Comparative Review Using Machine Learning and Deep Learning,"['Online social networks', 'Attacks', 'Security', 'Malware analysis', 'Feature extraction', 'Big data', 'Machine learning', 'Deep learning']",computer science
Performance Evaluation of Memory-Centric ARMv8 Many-Core Architectures: A Case Study with Phytium 2000+,"['many-core architecture', 'memory-centric design', 'performance evaluation']",computer science
Automatic grain segmentation in cross-polarized photomicrographs of sedimentary rocks using psychophysics inspired models,"['Optical mineralogy', 'Petrology', 'Sedimentary rock', 'Image segmentation', 'Grain-matrix', 'Brightness�Ccontrast', 'Visual perception', 'K-means++\u2009clustering', 'Beta index', 'Dice score', 'Jaccard Index', 'Accuracy']",computer science
Modified added activation function based exponential robust random vector functional link network with expanded version for nonlinear system identification,"['Nonlinear system identification', 'Random vector functional link network', 'Added activation function based enhanced random vector functional link network', 'Trigonometric exponential input enhancement', 'Monarch butterfly optimization algorithm']",computer science
Towards a machine understanding of Malawi legal text,"['Legal text', 'Case citations', 'Law citations', 'ICCS classification of crime', 'Malawi criminal judgments corpus', 'Machine learning']",computer science
Unmanned aerial vehicle-collaborative 5G: a cooperative technology for enhancement of 5G NR,"['5G', 'Heterogeneous network', 'Unmanned aerial vehicle', 'MmWave', 'Path loss', 'Rain-fade attenuation', 'Data rate']",computer science
A precise and stable machine learning algorithm: eigenvalue classification (EigenClass),"['Data classification', 'Eigenvalues', 'Learning algorithm', 'Machine learning', 'Supervised learning']",computer science
Online lockdown diaries as endurance art,"['Pandemic', 'Online diary', 'Social media', 'Endurance art', 'COVID-19', 'Fang fang', 'Wuhan', 'China', 'Digital era', 'Personal testimony', 'Iteration', 'Documenting performance', 'Performing documents']",computer science
Automated Essay Scoring and the Deep Learning Black Box: How Are Rubric Scores Determined?,"['Automated essay scoring', 'Deep learning', 'Neural network', 'Natural language processing', 'Feature importance', 'Rubrics']",computer science
My hands? Importance of personalised virtual hands in a neurorehabilitation scenario,"['Virtual embodiment', 'Neurorehabilitation therapy', 'Virtual reality', 'Virtual hands reconstruction', 'Virtual interaction']",computer science
Multi-relational knowledge graph completion method with local information fusion,"['Knowledge graph completion', 'Graph neural networks']",computer science
Stochastic approximation cut algorithm for inference in modularized Bayesian models,"['Cutting feedback', 'Stochastic approximation Monte Carlo', 'Intractable normalizing functions', 'Discretization']",computer science
A novel hybrid BPSOCSCA approach for feature selection,"['Binary artificial bee colony algorithm', 'Binary particle swarm optimization', 'Binary dragonfly algorithm', 'Binary moth flame optimization', 'Binary whale optimization algorithm', 'Clustering indices', 'Feature selection', 'Sine cosine algorithm']",computer science
Moral exemplars for the virtuous machine: the clinicians role in ethical artificial intelligence for healthcare,"['Artificial intelligence', 'Machine learning', 'Healthcare', 'Ethics', 'Virtue ethics', 'Morality']",computer science
Energy management strategy based on short-term resource scheduling of a renewable energy-based microgrid in the presence of electric vehicles using ��-modified krill herd algorithm,"['Stochastic management', 'Renewable energy', 'Microgrid (MG)', 'Krill herd algorithm', 'Electric vehicle']",computer science
A multi-objective particle swarm for constraint and unconstrained problems,"['Particle swarm', 'Multi-objective optimization', 'Constraint', 'Control parameters', 'Neutron collimator']",computer science
Order-Revealing Encryption: File-Injection Attack and Forward Security,"['order-revealing encryption', 'order-preserving encryption', 'file-injection attack', 'forward security']",computer science
Multi-view 3D shape style transformation,"['3D style transformation', 'Shape reconstruction', 'Shape modeling']",computer science
Missing multi-label learning with non-equilibrium based on two-level autoencoder,"['Multi-label learning', 'Labels completion', 'Kernel extreme learning machine', 'Two-level autoencoder']",computer science
Unsupervised Multi-modal Hashing for Cross-Modal Retrieval,"['Multimodal hashing', 'Cross-modal retrieval', 'Unsupervised learning', 'Manifold preserving']",computer science
Two Matrix-Type Projection Neural Networks for Matrix-Valued Optimization with Application to Image Restoration,"['Matrix-valued optimization', 'Matrix-type neural network', 'Global convergence', 'Image restoration', 'Fast computation']",computer science
Saliency prediction on omnidirectional images with attention-aware feature fusion network,"['Attention-aware features', 'Visibility score', 'Omnidirectional image', 'Saliency prediction']",computer science
Adaptive fuzzy modeling of interval-valued stream data and application in cryptocurrencies prediction,"['Adaptive machine learning', 'Fuzzy modeling', 'Interval-valued stream data', 'Forecasting', 'Cryptocurrencies']",computer science
A proposed decentralized formation control algorithm for robot swarm based on an optimized potential field method,"['Potential field method', 'Neural network optimization', 'Swarm robotics', 'Formation control']",computer science
Detecting human object interaction with multi-level pairwise feature network,"['human Cobject interaction detection', 'pairwise feature network', 'deep learning', 'multi-level', 'object instance']",computer science
Distillation of weighted automata from recurrent neural networks using a spectral approach,"['Weighted automata', 'Recurrent neural network', 'Spectral extraction', 'Grammatical inference', 'Explainability']",computer science
Genetic programming-based fusion of HOG and LBP features for fully automated texture classification,"['Genetic programming', 'Texture classification', 'Patch detection', 'Feature extraction', 'Feature fusion']",computer science
A Novel Semi-Supervised Convolutional Neural Network Method for Synthetic Aperture Radar Image Recognition,"['Synthetic aperture radar', 'Image recognition', 'Convolutional neural network', 'Semi-supervised learning', 'Linear discriminant analysis']",computer science
Recurrent neural network-based prediction of compressive and flexural strength of steel slag mixed concrete,"['Diagonal recurrent neural network', 'AOD steel slag', 'Concrete', 'Compressive and flexural strengths']",computer science
A comparative study of ANN and ANFIS models for the prediction of cement-based mortar materials compressive strength,"['Artificial neural networks', 'Cement', 'Compressive strength', 'Metakaolin', 'Mortar', 'Artificial intelligence techniques', 'Adaptive neuro-fuzzy inference system']",computer science
Robot grasping in dense clutter via view-based experience transfer,"['Perception for Grasping and Manipulation', 'Deep Learning in Robotics and Automation']",computer science
Sequential recommendation with metric models based on frequent sequences,"['Recommender systems', 'Sequential recommendation', 'Collaborative filtering']",computer science
DeepVS2.0: A Saliency-Structured Deep Learning Method for Predicting Dynamic Visual Attention,"['Deep neural networks', 'Saliency prediction', 'Convolutional LSTM', 'Eye-tracking database', 'Video', 'Video database']",computer science
An Ontology driven model for detection and classification of cardiac arrhythmias using ECG data,"['Ontology', 'Knowledge Engineering', 'ECG Classification', 'Arrhythmia Diagnosis', 'OWL', 'Semantic Technology']",computer science
An approach of classifiers fusion based on hierarchical modifications,"['Classifiers fusion', 'Hierarchical modifications', 'Belief function theory', 'Nearest neighbor']",computer science
