tit,keywords,category1
Design of a supply chain network for determining the optimal number of items at the inventory groups based on ABC analysis: a comparison of exact and meta-heuristic methods,"['ABC analysis', 'Bi-objective optimization', 'Three-level supply chain', 'Heuristic and meta-heuristic methods']",computer science
A novel decentralized model for storing and sharing neuroimaging data using ethereum blockchain and the interplanetary file system,"['Blockchain', 'Ethereum', 'Smart contracts', 'Solidity', 'InterPlanetary file system', 'Neuroimaging']",computer science
Why What and How to Help Each Citizen to Understand Artificial Intelligence?,"['Artificial intelligence for all', 'Computational thinking', 'Open educational resources (OERs)', 'MOOC']",computer science
Design and analysis of moems based displacement sensor for detection of muscle activity in human body,"['Photonic crystal', 'HIS (holes in slab)', 'RIA (rods in air)', 'Muscular activity', 'Movement detection', 'Human body', 'Optical MEMS.']",computer science
Role of artificial intelligence in rotor fault diagnosis: a comprehensive review,"['Rotating machinery fault diagnosis', 'Structural rotor faults', 'Artificial intelligence', 'Machine health monitoring']",computer science
Fifth sustainable development goal gender equality in India: analysis by mathematics of uncertainty and covering of fuzzy graphs,"['Sustainable development goals', 'Gender equality', 'Index score', 'Fuzzy graph', 'Covering problems']",computer science
Attacks and failures prediction framework for a collaborative 5G mobile network,"['Cyber-security', 'Fault management', 'Anomaly detection', 'Mobile networks', 'Cognitive manegement', 'Machine learning', 'Re-enforcement learning']",computer science
Emotion-cause span extraction: a new task to emotion cause identification in texts,"['Emotion cause identification', 'Span extraction', 'Joint learning', 'BERT', 'Multi-attention mechanism']",computer science
Dual contextual module for neural machine translation,"['Deep neural representation learning', 'Self-attention networks', 'Local contexts', 'Global contexts']",computer science
Wasserstein autoencoders for collaborative filtering,"['Wasserstein autoencoder', 'Collaborative filtering', 'Implicit data']",computer science
Marine predators algorithm for parameters estimation of photovoltaic modules considering various weather conditions,"['Index Terms', 'Optimization', 'Photovoltaic', 'Modeling', 'Estimation', 'Solar energy']",computer science
ECG beat classification using neural classifier based on deep autoencoder and decomposition techniques,"['Multi-class', 'Multilayer perceptron', 'Stacked sparse autoencoders', 'ECG arrhythmia', 'Decomposition strategies']",computer science
Neurological abnormality detection from electroencephalography data: a review,"['Dementia', 'Alzheimer diseases', 'Mild cognitive impairment', 'Schizophrenia', 'Parkinson diseases', 'Electroencephalography']",computer science
Prediction of industrial debutanizer column compositions using data-driven ANFIS- and ANN-based approaches,"['Industrial debutanizer column', 'ANFIS', 'ANN', 'Statistical analysis', 'Prediction modeling']",computer science
Convolutional Feature Frequency Adaptive Fusion Object Detection Network,"['Object detection', 'Information integration', 'Image features', 'Frequency fusion', 'Deep learning']",computer science
Applying Attention-Based Models for Detecting Cognitive Processes and Mental Health Conditions,"['Operant motive test', 'Psycholinguistics', 'BERT', 'Supervised autoencoder', 'Deep learning', 'Natural language processing']",computer science
Simulated dataset collection method of dynamic quality of services (QoS) metrics,"['Web services', 'CPU resource usage', 'Throughput', 'Simulation']",computer science
Classifying univariate uncertain data,"['Univariate uncertain data', 'Classification', 'Associative classification']",computer science
Iterative learning-based path control for robot-assisted upper-limb rehabilitation,"['Adaptive impedance control', 'Trajectory learning', 'Path control', 'Human�Crobot interaction', 'Robot-assisted rehabilitation']",computer science
High-performance UAVs visual tracking based on siamese network,"['Object tracking', 'Unmanned aerial vehicles', 'Intersection over union', 'Siamese network', 'Attention']",computer science
Skewed normal cloud modified whale optimization algorithm for degree reduction of curves,"['Whale optimization algorithm', 'Skew normal cloud normal,', 'CEC2017 benchmark functions']",computer science
Diversity and consistency embedding learning for multi-view subspace clustering,"['Subspace clustering', 'Multi-view clustering', 'Embedding space learning', 'Diversity and consistency', 'Self-expression']",computer science
Faults in deep reinforcement learning programs: a taxonomy and a detection approach,"['Deep reinforcement learning', 'Software testing', 'Fault detection', 'Graph transformations']",computer science
Twitter alloy steel disambiguation and user relevance via one-class and two-class news titles classifiers,"['Text classification', 'User relevance', 'Machine learning', 'Social media analytics']",computer science
Machine invention systems: a (r)evolution of the invention process?,"['Machine invention', 'Invention process', 'Automated invention', 'Creative systems', 'Machine learning']",computer science
A deeply coupled ConvNet for human activity recognition using dynamic and RGB images,"['Bi-LSTM', 'Deep learning', 'Dynamic motion image', 'Human activity recognition']",computer science
A deep learning method for motor fault diagnosis based on a capsule network with gate-structure dilated convolutions,"['Deep learning', 'Capsule network', 'Dilated convolutions', 'Input gate structure of LSTM', 'Motor fault diagnosis']",computer science
On human genome manipulation and Homo technicus: the legal treatment of non-natural human subjects,"['Bionics', 'Cybernetics', 'Gene therapy', 'Human augmentation', 'Legal personality', 'Speculative bioethics']",computer science
Item trend learning for sequential recommendation system using gated graph neural network,"['Sequential recommendation', 'Information retrieval', 'Self-attention', 'Implicit interaction', 'Trend']",computer science
Early warning of enterprise finance risk of big data mining in internet of things based on fuzzy association rules,"['Big data', 'Internet of Things', 'Financial risk', 'Fuzzy clustering', 'Data mining']",computer science
Performance evaluation of encryption algorithm using fruit fly optimization improved hybridized seeker and PVD algorithm,"['Cryptography', 'Embedding techniques', 'Performance', 'Selected location']",computer science
Deep learning feature selection to unhide demographic recommender systems factors,"['Feature selection', 'Collaborative filtering', 'Demographic information', 'Matrix factorization', 'Gradient-based localization', 'Deep learning']",computer science
A Non-invasive Approach to Identify Insulin Resistance with Triglycerides and HDL-c Ratio Using Machine learning,"['Machine learning', 'Feature selection', 'Insulin resistance', 'Triglycerides', 'HDL-c', 'CALERIE study']",computer science
