tit,keywords,category1
Cancer diagnosis using artificial intelligence: a review,"['Artificial intelligence', 'Cancer', 'Machine learning', 'Applications']",computer science
Recurrent Neural Network for Genome Sequencing for Personalized Cancer Treatment in Precision Healthcare,"['Genome sequencing', 'Exons', 'RNN. LSTM', 'Naive Bayes', 'KNN optimization', 'Deep neural network', 'Deep pattern', 'Healthcare']",computer science
Intrusion detection system for data warehouse with second level authentication,"['Data warehouse security', 'Second level authentication', 'Intrusion detection system']",computer science
Technoevidence: the "Turing limit" 2020,"['Technoevidence', 'Human value systems', 'Judicial evolution', 'Trustworthiness', 'Metadata', 'Implicit bias', 'Turing limit', 'Cyberethics']",computer science
The recursive variational Gaussian approximation (R-VGA),"['Variational approximation', 'Kalman filter', 'Online optimization', 'Bayesian logistic regression']",computer science
A multibranch CNN-BiLSTM model for human activity recognition using wearable sensor data,"['Bidirectional LSTM', 'HAR', 'Wearable sensor data', 'CNN', 'Deep neural networks']",computer science
A Secure IoT Firmware Update Scheme Against SCPA and DoS Attacks,"['Internet of Things', 'firmware update', 'authenticated encryption', 'side-channel power analysis', 'denial of service']",computer science
A novel rough value set categorical clustering technique for supplier base management,"['Clustering', 'Indiscernibility relation', 'Rough sets', 'Supplier base management', 'Value set']",computer science
The ethical use of high-performance computing and artificial intelligence: fighting COVID-19 at Barcelona Supercomputing Center,"['COVID-19', 'Artificial intelligence', 'Machine learning', 'High-performance computing', 'Ethics', 'Data protection']",computer science
Open set task augmentation facilitates generalization of deep neural networks trained on small data sets,"['Convolutional neural networks', 'Image recognition', 'Open set classification', 'Transfer learning']",computer science
Card-Based Cryptographic Logical Computations Using Private Operations,"['Multi-party secure computation', 'Card-based cryptographic protocols', 'Private operations', 'Logical computations', 'Copy']",computer science
Fake review detection on online E-commerce platforms: a systematic literature review,"['Cyber-security', 'Opinion spamming', 'Fraud', 'Spam detection', 'False information', 'Disinformation']",computer science
A stacked auto-encoder with scaled conjugate gradient algorithm for Malayalam ASR,"['Automatic speech recognition (ASR)', 'Deep neural network', 'Unsupervised learning', 'Mel frequency cepstral coefficients (MFCC)', 'Scaled conjugate gradient (SCG)', 'Sparse auto-encoder', 'Spectrogram', 'Zero crossing rate (ZCR)']",computer science
Enhanced Non-parametric Sequence-based Learning Algorithm for Outlier Detection in the Internet of Things,"['Internet of Things', 'Outliers', 'Agglomerative clustering', 'Gaussian mixture model', 'Resolution outlier factor']",computer science
Cross-Domain Polarity Models to Evaluate User eXperience in E-learning,"['Machine learning', 'Artificial neural networks', 'Sentiment analysis', 'User experience', 'Virtual learning environments', 'Learning management systems']",computer science
Image and video processing on mobile devices: a survey,"['Mobile devices', 'Computer vision', 'Image processing']",computer science
Prediction based task scheduling approach for floodplain application in cloud environment,"['Resource prediction', 'Resource scheduling', 'Cloud environment', 'Virtual machine', 'Ensembling', 'Machine learning', 'Quality of service']",computer science
Deep assisted dense model based classification of invasive ductal breast histology images,"['Invasive ductal carcinoma', 'Deep learning', 'CLAHE', 'Histology imaging', 'Medical diagnosis']",computer science
A guiding teaching and dual adversarial learning framework for a single image dehazing,"['Image dehazing', 'Knowledge distillation', 'Adversarial learning', 'Teacher stream', 'Student stream']",computer science
Real-time simulation of violent boiling in concentrated sulfuric acid dilution,"['Violent boiling simulation', 'Real-time simulation', 'Fluid simulation', 'Position-based fluids', 'Virtual experiment']",computer science
Solving combinatorial optimisation problems using oscillator based Ising machines,"['Ising machines', 'Oscillators', 'CMOS', 'Hamiltonian', 'Lyapunov', 'MAX-CUT', 'Frustrated loops', 'Graph colouring']",computer science
SANTIA: a Matlab-based open-source toolbox for artifact detection and removal from extracellular neuronal signals,"['Local field potential', 'Artifacts', 'Neural networks', 'Machine learning', 'Neuronal signals']",computer science
Survey on Machine Learning and Deep Learning Applications in Breast Cancer Diagnosis,"['Breast cancer', 'Machine learning', 'Deep learning', 'Convolution neural network (CNN)', 'Computer-aided diagnosis (CAD)']",computer science
Language-invariant novel feature descriptors for handwritten numeral recognition,"['Point-Light Source-based Shadow (PLSS)', 'Histogram of Oriented Pixel Positions (HOPP)', 'Numeral recognition', 'CMATERdb', 'Shape-based feature', 'Handwriting recognition']",computer science
GRU-based capsule network with an improved loss for personnel performance prediction,"['Personnel performance prediction', 'Capsule network', 'Improved loss function', 'Gated recurrent unit']",computer science
A systematic review on emperor penguin optimizer,"['Emperor penguin optimizer', 'Systematic literature review', 'Metaheuristic algorithm']",computer science
Human motion analysis using expressions of non-separated accelerometer values as character strings,"['Motion analysis', 'Activity analysis', 'Activity recognition', 'Accelerometer values', 'Wearable computing', 'Motion primitive', 'Everyday motions']",computer science
Augmented domain agreement for adaptable Meta-Learner on Few-Shot classification,"['Domain adaptation', 'Few-shot learning', 'Meta-learning', 'Image Reconstruction']",computer science
An incremental framework to extract coverage patterns for dynamic databases,"['Data mining', 'Pattern mining', 'Coverage patterns', 'Dynamic databases', 'Incremental mining']",computer science
Node classification over bipartite graphs through projection,"['Bipartite graphs', 'Two-mode networks', 'Node classification', 'Behavioral data']",computer science
Multiple delay-dependent finite-time boundedness and input Coutput finite-time mean square stabilization of uncertain semi-Markovian jump systems with input constraint,"['Semi-Markovian jump systems', 'Fault-tolerant control (FTC)', 'Finite-time boundedness (FTB)', 'Finite-time mean square stabilization (IO-FTMSS)', 'Stochastic Lyapunov function']",computer science
Configurable memory designs in quantum-dot cellular automata,"['Clock pulse generator', 'Field coupled nanotechnology', 'Flip-flop', 'Quantum-dot cellular automata (QCA)', 'Configurable logic']",computer science
Digitally fabricated aesthetic enhancements and enrichments,"['Bio inspired design', 'Aesthetic enhancements', 'Digital fabrication', 'Art and technology']",computer science
A new deep-learning strawberry instance segmentation methodology based on a fully convolutional neural network,"['Instance segmentation', 'Deep learning', 'Strawberry segmentation', 'Centroid prediction-based approach for instance segmentation']",computer science
Reinforcement learning methods based on GPU accelerated industrial control hardware,"['Reinforcement learning', 'PLC', 'Real-time', 'Industrial control', 'Manufacturing', 'GPU']",computer science
Negative-ResNet: noisy ambulatory electrocardiogram signal classification scheme,"['Arrhythmia detection', 'Noisy label classification', 'Negative learning', 'Deep learning application']",computer science
The image compression Cencryption algorithm based on the compression sensing and fractional-order chaotic system,"['Image encryption', 'Compression sensing', 'Fractional-order chaotic system']",computer science
RNe2Vec: information diffusion popularity prediction based on repost network embedding,"['Information diffusion', 'Mobile networks', 'Social network analysis', 'Network embedding', 'Popularity prediction', 'Artificial intelligence']",computer science
Modeling human Chuman interaction with attention-based high-order GCN for trajectory prediction,"['Graph convolutional network', 'Pedestrian trajectory prediction', 'Graph attention network', 'High-order GCN']",computer science
Siamese Pre-Trained Transformer Encoder for Knowledge Base Completion,"['Knowledge base completion', 'Pre-trained transformer encoder', 'Siamese network']",computer science
Multimodal Emotion Distribution Learning,"['Emotion recognition', 'Label distribution learning', 'Emotion distribution learning']",computer science
Robust adaptive learning with Siamese network architecture for visual tracking,"['Visual tracking', 'Siamese network', 'Adaptive feature fusion', 'Model update']",computer science
Feature selection based on term frequency deviation rate for text classification,"['Text classification', 'Feature selection', 'Term frequency', 'Document frequency', 'Deviation ratio']",computer science
"A machine learning-based approach to identify unlawful practices in online terms of service: analysis, implementation and evaluation","['Terms of service', 'Fairness awareness', 'Machine learning', 'Software']",computer science
"CNN-Based RGB-D Salient Object Detection: Learn, Select, and Fuse","['RGB-D', 'Salient object detection', 'Convolutional neural network', 'Cross-modal distillation']",computer science
Nation-wide human mobility prediction based on graph neural networks,"['Human mobility', 'Graph-based neural networks', 'Large-scale mobility', 'Human flow prediction', 'Mobile phone location data']",computer science
