tit,keywords,category1
Research on trend analysis method of multi-series economic data based on correlation enhancement of deep learning,"['Association rules', 'Correlation coefficient', 'Deep learning', 'Machine learning', 'Time-series analysis', 'Financial engineering']",computer science
Causality poetics and grammatology the role of computation in machine seeing,"['Materiality', 'Causality', 'Digital humanities', 'Computation', 'Interface']",computer science
Towards addressing unauthorized sharing of subscriptions,"['Account sharing', 'Unsupervised approach', 'User profiling', 'Geo-spoofing', 'User privacy']",computer science
3D sound spatialization with game engines: the virtual acoustics performance of a game engine and a middleware for interactive audio design,"['Virtual audio reality', '3D audio', 'Real-time auralization', 'Game engines', 'Physically based rendering']",computer science
Learning Extremal Representations with Deep Archetypal Analysis,"['Dimensionality reduction', 'Archetypal analysis', 'Deep variational information bottleneck', 'Generative modeling', 'Sentiment analysis', 'Chemical autoencoder']",computer science
MAFA-net: pedestrian detection network based on multi-scale attention feature aggregation,"['Pedestrian detection network', 'Deep dilate block', 'Pedestrian attention blocks', 'Feature aggregation module']",computer science
Neuro-fuzzy analytics in athlete development (NueroFATH): a machine learning approach,"['Neuro-fuzzy analytics', 'Machine learning', 'Multilayer perceptron model', 'Fuzzy c-means', 'Athletes']",computer science
Input addition and deletion in reinforcement: towards protean learning,"['Reinforcement', 'Transfer learning', 'Online learning', 'Recurrent networks']",computer science
ID-Net: an improved mask R-CNN model for intrusion detection under power grid surveillance,"['Power grid surveillance', 'Intrusion detection', 'Construction machinery detection', 'Engineering vehicle detection']",computer science
A novel statistical approach to numerical and multidisciplinary design optimization problems using pattern search inspired Harris hawks optimizer,"['CEC2005', 'Pattern search', 'Multidisciplinary engineering', 'Local search space']",computer science
Urban Landscape Ecological Design and Stereo Vision Based on 3D Mesh Simplification Algorithm and Artificial Intelligence,"['3D mesh simplification', '3D reconstruction model', 'Artificial intelligence', 'Urban landscape design', 'Computer vision']",computer science
Identifying twins based on ocular region features using deep representations,"['Ocular biometric features', 'Siamese network', 'Convolutional neural network', 'Multiscale convolutional neural network', 'Transfer learning', 'AutoML']",computer science
Effect of random walk methods on searching efficiency in swarm robots for area exploration,"['Random walk', 'Brownian motion', 'Lvy flight', 'Probability density function', 'Mean squared displacement']",computer science
Widening: using parallel resources to improve model quality,"['Widening', 'Machine learning', 'Data mining', 'Algorithms', 'Parallelization']",computer science
An integrated method for multi-criteria decision-making based on the best-worst method and Dempster-Shafer evidence theory under double hierarchy hesitant fuzzy linguistic environment,"['Double hierarchy hesitant fuzzy linguistic term set', 'Dempster-Shafer evidence theory', 'Best-worst method', 'Multi-criteria decision-making', 'Weight-determination method']",computer science
Research on vehicle intelligent wireless location algorithm based on convolutional neural network,"['Convolutional neural network', 'Vehicle positioning', 'Intelligence', 'Wireless positioning', 'Algorithm improvement']",computer science
Supportive emergency decision-making model towards sustainable development with fuzzy expert system,"['Best worst method', 'Z numbers', 'Zero-sum game theory', 'Golestan flood', 'Emergency response', 'Golden 72 h']",computer science
BiLSTM regression model for face sketch synthesis using sequential patterns,"['Face sketch synthesis', 'Bidirectional Long Short Term Memory (BiLSTM)', 'Sequential patterns', 'Recurrent neural network', 'Regression model']",computer science
Perception consistency ultrasound image super-resolution via self-supervised CycleGAN,"['Ultrasound image super-resolution', 'Self-supervision', 'CycleGAN']",computer science
Harmonia: Explicit Congestion Notification and Credit-Reservation Transport Converged Congestion Control in Datacenters,"['datacenter', 'credit-reservation protocol', 'ECN-based (explicit congestion notification based) protocol', 'multi-protocol converging']",computer science
A parallel approach for high utility-based frequent pattern mining in a big data environment,"['High utility mining', 'Frequent patterns', 'Spark', 'Parallel computing', 'Big data', 'Cluster node']",computer science
The influence of fitness landscape characteristics on particle swarm optimisers,"['Optimisation', 'Fitness landscapes', 'Particle swarm optimisation', 'Search behaviour']",computer science
Investigating the roles of sentiment in machine translation,"['Machine translation', 'Sentiment analysis', 'Parallel corpus', 'Neural networks']",computer science
Robot swarm democracy: the importance of informed individuals against zealots,"['Collective decision-making', 'Swarm intelligence', 'Swarm robotics', 'Stubborn agents']",computer science
An improved approach to generate generalized basic probability assignment based on fuzzy sets in the open world and its application in multi-source information fusion,"['Generalized evidence theory', 'Fuzzy set', 'Triangular fuzzy number', 'Generalized basic probability assignment', 'Dempster-Shafer evidence theory', 'Deng entropy']",computer science
