tit,keywords,category1
Minimal neural network topology optimization for aesthetic classification,"['Artificial neural networks', 'Complexity estimates', 'Edge detection', 'Aesthetic', 'ANN optimization']",computer science
Vertex covering problems of fuzzy graphs and their application in CCTV installation,"['Graph theory', 'Fuzzy graph', 'Fuzzy number', 'Covering problem', 'Fuzzy optimization']",computer science
Intelligent inspection robotics: an open innovation project,"['TRIZ theory', 'Intelligent inspection', 'Pipeline inspection', 'Open innovation']",computer science
Parameter reduction analysis under interval-valued m-polar fuzzy soft information,"['Soft set', 'IVmFSS', 'Parameter reduction', 'Decision-making', 'Algorithm']",computer science
From TAM to AVRTS: development and validation of the attitudes toward Virtual Reality Technology Scale,"['Virtual reality', 'Scale development', 'Enjoyment', 'Attitudes', 'Technology Acceptance Model (TAM)', 'Attitudes toward Virtual Reality Technology Scale (AVRTS)']",computer science
Combining Embeddings of Input Data for Text Classification,"['Text classification', 'Multi-input network', 'Agglutinative language', 'Inflected language', 'Embedding combination']",computer science
Pose estimation for workpieces in complex stacking industrial scene based on RGB images,"['Pose estimation', 'Stacking scene', 'Symmetric workpieces', 'Spatial expression']",computer science
Evaluation of factors affecting dance training effects based on reinforcement learning,"['Reinforcement learning', 'Dance training', 'Movement recognition', 'Training effect']",computer science
EMOCGAN: a novel evolutionary multiobjective cyclic generative adversarial network and its application to unpaired image translation,"['Cyclic generative adversarial network', 'Evolutionary computation', 'Image-to-image translation', 'Multiobjective optimization']",computer science
Classification of acoustical signals by combining active learning strategies with semi-supervised learning schemes,"['Combined learning framework', 'Self-training scheme', 'Active learning queries', 'Acoustical signal classification', 'Data augmentation techniques', 'Semi-automated approaches']",computer science
Decoding movement intent patterns based on spatiotemporal and adaptive filtering method towards active motor training in stroke rehabilitation systems,"['Neuromuscular function', 'Artificial neural networks', 'Pattern recognition', 'High-density surface electromyogram', 'Rehabilitation robotics for stroke patients']",computer science
Unsupervised face super-resolution via gradient enhancement and semantic guidance,"['Unsupervised face super-resolution', 'Facial semantic priors', 'Gradient enhancement']",computer science
On the predictability of the abelian sandpile model,"['Abelian sandpile model', 'Cellular automata', 'Property testing', 'Firefighter problem']",computer science
Neural cryptography using optimal structure of neural networks,"['Neural synchronization', 'Session key', 'Three layer tree parity machine (TLTPM)', 'Neural network', 'Simulations']",computer science
Visual complexity of shapes: a hierarchical perceptual learning model,"['Neurons', 'Hierarchical', 'Shape', 'Visual complexity', 'Regression analysis']",computer science
Dual generative adversarial active learning,"['Deep learning', 'Generative adversarial networks', 'Image generation', 'Active learning']",computer science
Multi-label text classification with latent word-wise label information,"['Multi-label text classification', 'Labeled topic model', 'Word-wise label information', 'abel-to-label structure']",computer science
Visualising deep network time-series representations,"['Time-series visualisation', 'Neural network representations visualisation', 'Financial data', 'Limit order book']",computer science
A fused contextual color image thresholding using cuttlefish algorithm,"['Image fusion', 'Local contrast', 'Masi entropy', 'Energy curve', 'Cuttlefish algorithm', 'Multi-level image segmentation']",computer science
Factorized multi-scale multi-resolution residual network for single image deraining,"['Multi-scale grouped convolution', 'Multi-resolution residual network', 'Single image deraining', 'Channel attention', 'Perceptual loss', 'U-Net']",computer science
UAMNer: uncertainty-aware multimodal named entity recognition in social media posts,"['Multimodal named entity recognition', 'Multimodal social media', 'Bayesian neural network', 'Multimodal transformer']",computer science
A Bayesian-inspired deep learning-based semi-supervised domain adaptation technique for land cover mapping,"['Land cover mapping', 'Satellite image time series', 'Domain adaptation', 'Remote sensing', 'Earth observation', 'Deep learning']",computer science
Towards addressing dynamic multi-agent task allocation in law enforcement,"['Multi-agent systems', 'Artificial intelligence', 'Law enforcement problem (LEP H)', 'Fisher market FMC_TA H+', 'Swarm intelligence HDBA', 'Simulated annealing SA']",computer science
Collaborative Matrix Factorization with Soft Regularization for Drug-Target Interaction Prediction,"['drug-target interaction', 'collaborative matrix factorization', 'soft regularization', 'noisy data']",computer science
Twin-parametric margin support vector machine with truncated pinball loss,"['TSVM', 'Truncated', 'Pinball loss', 'CCCP']",computer science
Enhanced Prediction of Intra-day Stock Market Using Metaheuristic Optimization on RNN CLSTM Network,"['Intra-day stock market', 'Deep learning', 'Recurrent neural network (RNN)', 'Long short term memory (LSTM)', 'Flower pollination algorithm', 'Particle swarm optimization']",computer science
Multiple delay-dependent noise-to-state stability for a class of uncertain switched random nonlinear systems with intermittent sensor and actuator faults,"['Random systems', 'Switched systems', 'Intermittent faults (IFs)', 'Noise-to-state stability (NSS)', 'Multiple delay-dependent stability']",computer science
Self-supervised pairing image clustering for automated quality control,"['Image clustering', 'Self-supervised training', 'Manufacturing applications']",computer science
MMD-encouraging convolutional autoencoder: a novel classification algorithm for imbalanced data,"['Imbalanced data', 'Autoencoder', 'Two-phase target training', 'Maximum mean discrepancy', 'Inter-class distance']",computer science
Geometric modeling: Background for processing the 3d objects,"['3D models', 'Reconstruction', 'Simplification', 'Hole filling', 'Triangulation', 'Visualization']",computer science
Truncation: A New Approach to Neural Network Reduction,"['Neurons reduction', 'Regularization', 'Classification', 'Autoencoder']",computer science
AI from Concrete to Abstract,"['D\ufeffemystifying AI', 'Teaching AI', 'AI and block-based programming', 'WiSARD', 'AIcon2abs']",computer science
Unbalanced probabilistic linguistic decision-making method for multi-attribute group decision-making problems with heterogeneous relationships and incomplete information,"['Unbalanced probabilistic linguistic term set', 'Choquet integral operator', 'Partitioned fuzzy measure', 'Evidential reasoning theory']",computer science
An approach to identify solutions of interest from multi and many-objective optimization problems,"['Multiobjective optimization', 'Solutions of interest', 'Preferences articulation']",computer science
On max-flat and max-cotorsion modules,"['(Max-)flat modules', 'Max-cotorsion modules', '(s-)pure submodule', 'SP-flat modules', 'Max-hereditary rings', 'Quasi-Frobenius rings']",computer science
Tracking by Deblatting,"['Fast moving objects', 'Visual object tracking', 'Deblatting', 'Deblurring', 'Trajectory estimation', 'Energy minimization']",computer science
A comprehensive model and computational methods to improve Situation Awareness in Intelligence scenarios,"['Intelligence analysis', 'GrC', 'SA']",computer science
A semi-hard voting combiner scheme to ensemble multi-class probabilistic classifiers,"['Ensemble classifier', 'Confidence Level', 'Majority vote', 'Average rule', 'Error sensitivity', 'Bagging']",computer science
Symbolic DNN-Tuner,"['Deep learning', 'Hyper-parameter optimization', 'Probabilistic logic programming']",computer science
A novel resource management technique for deadlock-free systems,"['Resource reservation', 'Bankers algorithm', 'Deadlock avoidance', 'Deadlock recovery', 'Operating systems', 'Scheduling', 'Safety sequence', 'Resource management', 'Deadlock-free']",computer science
Adaptive multi-branch correlation filters for robust visual tracking,"['Visual tracking', 'Correlation filter', 'Multi-branch', 'Appearance changes', 'Background suppression']",computer science
Attention Guided Low-Light Image Enhancement with a Large Scale Low-Light Simulation Dataset,"['Low-light image enhancement', 'Low-light simulation', 'Synthetic dataset', 'Attention guidance', 'Deep neural network']",computer science
Natural language processing for Nepali text: a review,"['Devanagari', 'Machine learning', 'Nepali language', 'Nepali linguistics', 'Natural language processing', 'Classification', 'Sentiment analysis']",computer science
Scalable Multi-grained Cross-modal Similarity Query with Interpretability,"['Cross-modal', 'Interpretability', 'Multi-grained', 'Similarity query ��Scalability']",computer science
Designing for the co-Orchestration of Social Transitions between Individual Small-Group and Whole-Class Learning in the Classroom,"['Classroom orchestration', 'Design process', 'Teaching support', 'Activity transitions', 'Co-orchestration']",computer science
A framework for Model-Driven Engineering of resilient software-controlled systems,"['Resilience', 'Software-controlled system of systems', 'Model-Driven Engineering', 'Reflection architectural pattern', 'Digital twins', 'Fault trees']",computer science
