tit,keywords,category1
A comparison between expert and beginner learning for motor skill development in a virtual reality serious game,"['Virtual reality', 'Training', 'Learning', 'Serious game']",computer science
An adaptive task-oriented RBF network for key water quality parameters prediction in wastewater treatment process,"['Radial basis function (RBF) networks', 'Adaptive task-oriented', 'Second-order algorithm', 'Water quality parameters prediction']",computer science
Modelling daily soil temperature by hydro-meteorological data at different depths using a novel data-intelligence model: deep echo state network model,"['Soil temperature', 'Deep echo state network', 'Multilayer perceptron neural network', 'Random forest', 'M5Prime tree']",computer science
Multi-objective whale optimization algorithm and multi-objective grey wolf optimizer for solving next release problem with developing fairness and uncertainty quality indicators,"['Next release problem', 'Grey wolf optimizer', 'Whale optimization algorithm', 'Fairness quality indicator', 'Uncertainty size']",computer science
Hierarchical classification with multi-path selection based on granular computing,"['Granular computing', 'Hierarchical classification', 'Inter-level error propagation', 'Multi-path selection']",computer science
Selective eye-gaze augmentation to enhance imitation learning in Atari games,"['Imitation learning', 'Human-in-the-loop learning', 'Learning by demonstration']",computer science
Nested aggregation of experts using inducing points for approximated Gaussian process regression,"['Gaussian process regression', 'Aggregation methods', 'Linear sketching', 'Big data', 'Scalability']",computer science
A new class of distance-optimal binary cyclic codes and their duals,"['Cyclic code', 'Binary code', 'Distance-optimal', 'Sphere packing bound', 'Weight distribution']",computer science
Sparse classification: a scalable discrete optimization perspective,"['Sparse classification', 'Binary convex optimization', 'Support recovery']",computer science
A stochastic approach to handle resource constraints as knapsack problems in ensemble pruning,"['Ensemble creation', 'Majority voting', 'Knapsack problems', 'Stochastic selection']",computer science
Genetic programming-based regression for temporal data,"['Temporal data', 'Concept drift', 'Model induction', 'Nonlinear model', 'Predictive model', 'Genetic programming']",computer science
Recent trends in distributed production network scheduling problem,"['Multi-factory scheduling', 'Distributed production network', 'Systematic review', 'New trends']",computer science
In-depth analysis of financial market based on iris recognition algorithm of MATLAB GUI,"['MatalabGUI', 'Iris recognition', 'Financial market', 'Security analysis', 'In-depth analysis']",computer science
A new tight approximation towards the computation of option price,"['Stochastic differential equation', 'Fokker Planck equation', 'High-frequency trading (HFT)', 'Gaussian Q-function', 'Option price', 'Option greeks']",computer science
Improved image denoising via RAISR with fewer filters,"['block matching and 3D filtering', 'weighted nuclear norm minimization', 'super-resolution', 'geometric conversion', 'census transform']",computer science
Maximizing Influence Over Streaming Graphs with Query Sequence,"['Influence maximization', 'Network diffusion', 'Dynamic', 'Sketch', 'Index']",computer science
Neural network-based robust finite-time attitude stabilization for rigid spacecraft under angular velocity constraint,"['Attitude control', 'State constraint', 'Finite-time control', 'RBF neural network']",computer science
Local Q-concavity histograms for binary image classification and reconstruction,"['Quadrant-convexity', 'Local shape descriptor', 'Image classification', 'Binary tomography', 'Image reconstruction', 'Simulated annealing']",computer science
Face recognition in unconstrained environment with CNN,"['Face recognition', 'Deep learning', 'Data augmentation']",computer science
